,States,train_error_custom,train_error_marg,train_error_multi,test_error_custom,test_error_marg,test_error_multi,average_variance_custom,average_variance_marg,average_variance_multi
0,Alaska,1.7137596697795967,1.3051059201322377,0.6564892263974054,4.738674350197882,0.3433618417953506,1.8005523772622474,5.5644792552156765,0.1022255889794615,3.109012721988188
1,Alabama,0.6125090558158367,1.2684713337194422,0.3939643696690331,1.037146715986653,0.08216769696929203,0.6082190176999116,5.463055687877441,0.010742679788920599,3.112124281711143
2,Arkansas,0.36415940438406647,1.2794361195731085,0.4014083465878524,0.4448978677961147,0.13817140261859673,0.385505824074324,3.675457169572114,0.012179381534025521,3.1137593869833173
3,Arizona,1.0826435863359525,1.2908366864363892,0.36748926740681853,1.1626522240746666,0.10786451972393914,0.2474696193147656,4.027763538456157,0.007044738941347907,3.110718939193767
4,California,0.5729767122795077,1.1555859537101063,0.38401915258156233,1.6827368301735715,0.11448110245667874,0.46159461369182114,5.721593152273837,0.008886480339903746,3.1045450559578676
5,Colorado,0.5518914953281611,1.165491286785068,0.44647301449426846,0.3213001173959027,0.24033780096407822,0.48527263904271106,4.364733304992884,0.011104765221079919,3.0990738310507275
6,Connecticut,0.41201475021231687,1.2575152369367968,0.4334448801222699,0.15226095506685036,0.17377125367426446,0.20943254763224423,4.2392177072560155,0.006895246365672649,3.101474360561336
7,District of Columbia,0.512980065355713,1.2631565519636592,0.44168006348091776,0.3508212757833576,0.18897867165635904,0.3613721204739067,3.971581389008609,0.005315996923470237,3.09899242904832
8,Delaware,0.7740846176490054,1.2734747868225618,0.4285473238000288,1.4788204101542033,0.20781327974048178,0.20564726073357004,3.9310927796902617,0.012234906835374527,3.099175530258757
9,Florida,0.4831783011063549,1.1961238242695709,0.38074435004910095,0.19226022042365912,0.08361259391088266,0.6130580592773749,5.046266877354675,0.010096373868579478,3.105625849522852
10,Georgia,0.9492737064805773,1.1945385870939396,0.37843552416598086,2.1585503212890536,0.5312964150268382,0.545990953672004,4.381133197536627,0.024448953026784695,3.1021283362068446
11,Hawaii,0.6888229020048589,1.3578908923083035,0.6392890704622475,0.3414364432289556,0.4854811485223094,0.9430263889291038,4.286101886484712,0.0628661030817207,3.1035290537515317
12,Iowa,1.0239504991944561,1.2698109736959533,0.443056197209718,0.15064524227133852,0.16082919883915592,0.2179018379539981,3.5616457877505385,0.004951043969508928,3.0984463858895746
13,Idaho,0.7852348531086382,1.305572435801677,0.41539046033018284,1.6022168646454054,0.13747037094546502,1.0253251308091695,5.133595479951348,0.06130249720224585,3.1042924809186982
14,Illinois,0.5072654340406894,1.2006145108640365,0.4186652246636841,0.3220808856960031,0.07234928640956455,0.32404198608883705,4.880411341608393,0.0035099157793511983,3.0974335730519726
15,Indiana,0.44676171738190595,1.23941201544029,0.38076913341304996,0.039748359739565454,0.20243321919734827,0.45719370916398006,3.4229247275539025,0.0033565355212093035,3.1035073486341247
16,Kansas,0.9510427103950366,1.2774417638603546,0.405850185757668,1.0225280633479645,0.14829858337035065,0.534252182796321,4.618869933502737,0.00954156542268681,3.100495984860101
